tconst,primaryTitle,isAdult,episode_count,averageRating,numVotes
tt0035803,The German Weekly Review,0,8,8,63
tt0039123,Kraft Theatre,0,587,8,224
tt0039125,Public Prosecutor,0,18,6.2,34
tt0040021,Actor's Studio,0,65,7,92
tt0040028,Talent Scouts,0,56,6.5,25
tt0040034,Candid Camera,0,13,7,156
tt0040036,The Chevrolet Tele-Theatre,0,82,7.5,53
tt0040041,The Milton Berle Show,0,263,7.5,166
tt0040042,The Morey Amsterdam Show,0,82,7.9,41
tt0040045,"Okay, Mother",0,51,5.6,26
tt0040048,Perry Como's Kraft Music Hall,0,1014,7.7,124
tt0040049,The Philco Television Playhouse,0,267,7.7,138
tt0040051,Studio One,0,467,7.6,340
tt0040053,The Ed Sullivan Show,0,1075,7.9,1586
tt0040993,The Admiral Broadway Revue,0,18,6.8,27
tt0040996,The Aldrich Family,0,19,7.4,48
tt0041002,Arthur Godfrey and His Friends,0,49,6.5,42
tt0041005,Believe It or Not,0,25,6.5,40
tt0041007,The Big Story,0,321,6.9,60
tt0041014,Captain Video and His Video Rangers,0,132,6.6,138
tt0041015,Cavalcade of Stars,0,163,7.8,66
tt0041021,The Ed Wynn Show,0,41,6.8,66
tt0041023,Fireside Theatre,0,272,7.4,99
tt0041024,The Ford Television Theatre,0,195,7.4,280
tt0041027,The Goldbergs,0,92,7.5,218
tt0041030,Hopalong Cassidy,0,52,7.6,406
tt0041036,The Life of Riley,0,27,7,136
tt0041037,Lights Out,0,160,6.9,210
tt0041038,The Lone Ranger,0,221,7.7,2980
tt0041039,Mama,0,336,8.3,192
tt0041040,Man Against Crime,0,126,7.3,111
tt0041042,Martin Kane,0,242,6.9,78
tt0041044,Mr. I. Magination,0,20,7,30
tt0041048,One Man's Family,0,18,6.7,31
tt0041050,The Ruggles,0,137,7.4,49
tt0041053,The Silver Theatre,0,39,6.9,32
tt0041060,Super Circus,0,29,7,40
tt0041061,Suspense,0,262,7.4,364
tt0041069,The Voice of Firestone,0,287,6.6,30
